ingredient,calories,protein,fat,carbohydrates,fiber,calcium
udang segar,91,17.9,1.0,0.0,0.0,70
bawang putih,139,6.7,0.2,28.0,1.0,40
kemiri,630,11.4,60.0,9.0,2.0,40
bawang merah,39,1.5,0.3,9.2,0.6,36
cabai rawit,120,3.2,1.0,24.0,2.0,29
cabai merah kering,365,11.0,3.0,72.0,22.0,58
tomat merah,20,1.0,0.3,4.2,1.0,5
sawi segar,20,2.0,0.4,3.1,1.0,220
papan pete,128,5.4,1.0,23.2,1.0,20
jagung muda kuning mentah,90,2.6,1.2,19.2,1.0,3
minyak kelapa sawit,884,0.0,100.0,0.0,0.0,0
santan murni,324,4.2,34.3,5.6,0.0,14
gula putih,394,0.0,0.0,94.0,0.0,5
gula merah,386,3.0,10.0,76.0,0.0,76
lengkuas,26,26,1,0.3,1.1,4.7
daun salam,301,301,14.2,10.9,9.4,49
terasi,155,155,22.3,2.9,2.7,9.9
ketumbar,418,418,14.1,16.1,12.3,54.2
kunyit,69,69,2,2.7,0.6,9.1
merica,365,365,11.5,6.8,1,64.4
kecap,71,71,5.7,1.3,,9
daun bawang, 41,41,2,0.3,2.1,7.8
